"filename", "language", "Markdown", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Asset\{57da8d23-6797-4a81-8598-bfcd0d674e8d}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{018103bd-1e26-4786-9ac2-d583993419ad}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{07cafd14-2375-4d52-b9a3-47563c23b8d8}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{39f78fc5-f843-40d0-b636-35c0f9f131f7}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{4ae6c663-2fcb-45c5-922d-8a06b6b8f003}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{4fff0f5b-cfc6-465b-bb90-34c9d497e6b7}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{56dbecbe-e8f3-451e-a585-028a378ebf47}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{631b5767-5070-470a-8ca4-13e200976454}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{65b8231e-e7d8-4c24-a638-db479acdf942}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{82f8897a-68b7-4dab-9b70-e40c2c99d284}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{8a3c3f25-4d36-4179-906b-98c6001351d9}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{8f981311-284f-40b1-83a7-2115c7f46715}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{98d9909b-60d5-4170-96fc-d04dcf4b4303}.xml", "XML", 0, 0, 23, 0, 1, 24
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{b1e9dac3-4237-4c3f-a080-7afa911cbbfc}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{c58269d0-4ad7-4b3f-96b9-3f3e8d98d291}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{ee6dc663-7955-47a8-87d6-5ee459da74a0}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\AudioFile\{f5b3195b-9ab9-431e-a444-c616b9b7a7f8}.xml", "XML", 0, 0, 20, 0, 1, 21
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\BankFolder\{e91f7a1c-89b3-44a4-8fd2-2eb6ee052248}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\Bank\{b5fbd075-6b7d-429e-bddd-67db6e387e97}.xml", "XML", 0, 0, 14, 0, 1, 15
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPresetFolder\{b2c01394-e3b2-4bf9-b9f7-449857455f61}.xml", "XML", 0, 0, 4, 0, 1, 5
"c:\Program Files (x86)\Steam\steamapps\common\Forts\data\mods\fortswheelsmod\.sfx\Metadata\EffectPreset\{1768482f-5616-44ad-a6a4-89cdeb24bdc9}.xml", "XML", 0, 0, 52, 0, 1, 53
